infinitive_english,infinitive,mood,mood_english,tense,tense_english,verb_english,1st person singular,2nd person singular,3rd person singular,1st person plural,2nd person plural,third person plural,gerund,pastparticiple
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Imperfecto,Imperfect,"I was lowering, used to lower, lowered",bajaba,bajabas,bajaba,bajábamos,bajabais,bajaban,bajando,bajado
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Pretérito,Preterite,I lowered,bajé,bajaste,bajó,bajamos,bajasteis,bajaron,bajando,bajado
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Condicional,Conditional,I would lower,bajaría,bajarías,bajaría,bajaríamos,bajaríais,bajarían,bajando,bajado
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have lowered,he bajado,has bajado,ha bajado,hemos bajado,habéis bajado,han bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have lowered,habré bajado,habrás bajado,habrá bajado,habremos bajado,habréis bajado,habrán bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had lowered,había bajado,habías bajado,había bajado,habíamos bajado,habíais bajado,habían bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had lowered,hube bajado,hubiste bajado,hubo bajado,hubimos bajado,hubisteis bajado,hubieron bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have lowered,habría bajado,habrías bajado,habría bajado,habríamos bajado,habríais bajado,habrían bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Subjuntivo,Subjunctive,Presente,Present,"I lower, am lowering",baje,bajes,baje,bajemos,bajéis,bajen,bajando,bajado
"to lower, go down, descend, download",bajar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I lowered, was lowering",bajara,bajaras,bajara,bajáramos,bajarais,bajaran,bajando,bajado
"to lower, go down, descend, download",bajar,Subjuntivo,Subjunctive,Futuro,Future,I will lower,bajare,bajares,bajare,bajáremos,bajareis,bajaren,bajando,bajado
"to lower, go down, descend, download",bajar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have lowered, lowered",haya bajado,hayas bajado,haya bajado,hayamos bajado,hayáis bajado,hayan bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have lowered,hubiere bajado,hubieres bajado,hubiere bajado,hubiéremos bajado,hubiereis bajado,hubieren bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had lowered,hubiera bajado,hubieras bajado,hubiera bajado,hubiéramos bajado,hubierais bajado,hubieran bajado,bajando,bajado
"to lower, go down, descend, download",bajar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Lower! Don't lower!,,baja,bajad,,baje,bajen,bajando,bajado
"to lower, go down, descend, download",bajar,Imperativo Negativo,Imperative Negative,Presente,Present,Lower! Don't lower!,,no bajes,no bajéis,,no baje,no bajen,bajando,bajado
to give a bath,bañar,Indicativo,Indicative,Presente,Present,"I give a bath, am giving a bath",baño,bañas,baña,bañamos,bañáis,bañan,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Futuro,Future,I will give a bath,bañaré,bañarás,bañará,bañaremos,bañaréis,bañarán,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Imperfecto,Imperfect,"I was giving a bath, used to give a bath, gave a bath",bañaba,bañabas,bañaba,bañábamos,bañabais,bañaban,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Pretérito,Preterite,I gave a bath,bañé,bañaste,bañó,bañamos,bañasteis,bañaron,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Condicional,Conditional,I would give a bath,bañaría,bañarías,bañaría,bañaríamos,bañaríais,bañarían,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have given a bath,he bañado,has bañado,ha bañado,hemos bañado,habéis bañado,han bañado,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have given a bath,habré bañado,habrás bañado,habrá bañado,habremos bañado,habréis bañado,habrán bañado,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had given a bath,había bañado,habías bañado,había bañado,habíamos bañado,habíais bañado,habían bañado,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had given a bath,hube bañado,hubiste bañado,hubo bañado,hubimos bañado,hubisteis bañado,hubieron bañado,bañando,bañado
to give a bath,bañar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have given a bath,habría bañado,habrías bañado,habría bañado,habríamos bañado,habríais bañado,habrían bañado,bañando,bañado
to give a bath,bañar,Subjuntivo,Subjunctive,Presente,Present,"I give a bath, am giving a bath",bañe,bañes,bañe,bañemos,bañéis,bañen,bañando,bañado
to give a bath,bañar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I gave a bath, was giving a bath",bañara,bañaras,bañara,bañáramos,bañarais,bañaran,bañando,bañado
to give a bath,bañar,Subjuntivo,Subjunctive,Futuro,Future,I will give a bath,bañare,bañares,bañare,bañáremos,bañareis,bañaren,bañando,bañado
to give a bath,bañar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have given a bath, gave a bath",haya bañado,hayas bañado,haya bañado,hayamos bañado,hayáis bañado,hayan bañado,bañando,bañado
to give a bath,bañar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have given a bath,hubiere bañado,hubieres bañado,hubiere bañado,hubiéremos bañado,hubiereis bañado,hubieren bañado,bañando,bañado
to give a bath,bañar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had given a bath,hubiera bañado,hubieras bañado,hubiera bañado,hubiéramos bañado,hubierais bañado,hubieran bañado,bañando,bañado
to give a bath,bañar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Give a bath! Don't give a bath!,,baña,bañad,,bañe,bañen,bañando,bañado
to give a bath,bañar,Imperativo Negativo,Imperative Negative,Presente,Present,Give a bath! Don't give a bath!,,no bañes,no bañéis,,no bañe,no bañen,bañando,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Presente,Present,"I take a bath, am taking a bath",me baño,te bañas,se baña,nos bañamos,os bañáis,se bañan,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Futuro,Future,I will take a bath,me bañaré,te bañarás,se bañará,nos bañaremos,os bañaréis,se bañarán,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Imperfecto,Imperfect,"I was taking a bath, used to take a bath, took a bath",me bañaba,te bañabas,se bañaba,nos bañábamos,os bañabais,se bañaban,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Pretérito,Preterite,I took a bath,me bañé,te bañaste,se bañó,nos bañamos,os bañasteis,se bañaron,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Condicional,Conditional,I would take a bath,me bañaría,te bañarías,se bañaría,nos bañaríamos,os bañaríais,se bañarían,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Presente perfecto,Present Perfect,I have taken a bath,me he bañado,te has bañado,se ha bañado,nos hemos bañado,os habéis bañado,se han bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have taken a bath,me habré bañado,te habrás bañado,se habrá bañado,nos habremos bañado,os habréis bañado,se habrán bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had taken a bath,me había bañado,te habías bañado,se había bañado,nos habíamos bañado,os habíais bañado,se habían bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had taken a bath,me hube bañado,te hubiste bañado,se hubo bañado,nos hubimos bañado,os hubisteis bañado,se hubieron bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have taken a bath,me habría bañado,te habrías bañado,se habría bañado,nos habríamos bañado,os habríais bañado,se habrían bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Subjuntivo,Subjunctive,Presente,Present,"I take a bath, am taking a bath",me bañe,te bañes,se bañe,nos bañemos,os bañéis,se bañen,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I took a bath, was taking a bath",me bañara,te bañaras,se bañara,nos bañáramos,os bañarais,se bañaran,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Subjuntivo,Subjunctive,Futuro,Future,I will take a bath,me bañare,te bañares,se bañare,nos bañáremos,os bañareis,se bañaren,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have taken a bath, took a bath",me haya bañado,te hayas bañado,se haya bañado,nos hayamos bañado,os hayáis bañado,se hayan bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have taken a bath,me hubiere bañado,te hubieres bañado,se hubiere bañado,nos hubiéremos bañado,os hubiereis bañado,se hubieren bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had taken a bath,me hubiera bañado,te hubieras bañado,se hubiera bañado,nos hubiéramos bañado,os hubierais bañado,se hubieran bañado,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Take a bath! Don't take a bath!,,báñate,bañaos,,báñese,báñense,bañándose,bañado
"to take a bath, bathe oneself",bañarse,Imperativo Negativo,Imperative Negative,Presente,Present,Take a bath! Don't take a bath!,,no te bañes,no os bañéis,,no se bañe,no se bañen,bañándose,bañado
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Presente,Present,"I sweep, am sweeping",barro,barres,barre,barremos,barréis,barren,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Futuro,Future,I will sweep,barreré,barrerás,barrerá,barreremos,barreréis,barrerán,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Imperfecto,Imperfect,"I was sweeping, used to sweep, swept",barría,barrías,barría,barríamos,barríais,barrían,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Pretérito,Preterite,I swept,barrí,barriste,barrió,barrimos,barristeis,barrieron,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Condicional,Conditional,I would sweep,barrería,barrerías,barrería,barreríamos,barreríais,barrerían,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Presente perfecto,Present Perfect,I have swept,he barrido,has barrido,ha barrido,hemos barrido,habéis barrido,han barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have swept,habré barrido,habrás barrido,habrá barrido,habremos barrido,habréis barrido,habrán barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had swept,había barrido,habías barrido,había barrido,habíamos barrido,habíais barrido,habían barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had swept,hube barrido,hubiste barrido,hubo barrido,hubimos barrido,hubisteis barrido,hubieron barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have swept,habría barrido,habrías barrido,habría barrido,habríamos barrido,habríais barrido,habrían barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Subjuntivo,Subjunctive,Presente,Present,"I sweep, am sweeping",barra,barras,barra,barramos,barráis,barran,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I swept, was sweeping",barriera,barrieras,barriera,barriéramos,barrierais,barrieran,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Subjuntivo,Subjunctive,Futuro,Future,I will sweep,barriere,barrieres,barriere,barriéremos,barriereis,barrieren,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have swept, swept",haya barrido,hayas barrido,haya barrido,hayamos barrido,hayáis barrido,hayan barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have swept,hubiere barrido,hubieres barrido,hubiere barrido,hubiéremos barrido,hubiereis barrido,hubieren barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had swept,hubiera barrido,hubieras barrido,hubiera barrido,hubiéramos barrido,hubierais barrido,hubieran barrido,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Sweep! Don't sweep!,,barre,barred,,barra,barran,barriendo,barrido
"to sweep, sweep clean, sweep out, sweep away",barrer,Imperativo Negativo,Imperative Negative,Presente,Present,Sweep! Don't sweep!,,no barras,no barráis,,no barra,no barran,barriendo,barrido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Presente,Present,"I beat, am beating",bato,bates,bate,batimos,batís,baten,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Futuro,Future,I will beat,batiré,batirás,batirá,batiremos,batiréis,batirán,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Imperfecto,Imperfect,"I was beating, used to beat, beat",batía,batías,batía,batíamos,batíais,batían,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Pretérito,Preterite,I beat,batí,batiste,batió,batimos,batisteis,batieron,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Condicional,Conditional,I would beat,batiría,batirías,batiría,batiríamos,batiríais,batirían,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Presente perfecto,Present Perfect,I have beaten,he batido,has batido,ha batido,hemos batido,habéis batido,han batido,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have beaten,habré batido,habrás batido,habrá batido,habremos batido,habréis batido,habrán batido,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had beaten,había batido,habías batido,había batido,habíamos batido,habíais batido,habían batido,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had beaten,hube batido,hubiste batido,hubo batido,hubimos batido,hubisteis batido,hubieron batido,batiendo,batido
"to beat, hammer, pound on",batir,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have beaten,habría batido,habrías batido,habría batido,habríamos batido,habríais batido,habrían batido,batiendo,batido
"to beat, hammer, pound on",batir,Subjuntivo,Subjunctive,Presente,Present,"I beat, am beating",bata,batas,bata,batamos,batáis,batan,batiendo,batido
"to beat, hammer, pound on",batir,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I beat, was beating",batiera,batieras,batiera,batiéramos,batierais,batieran,batiendo,batido
"to beat, hammer, pound on",batir,Subjuntivo,Subjunctive,Futuro,Future,I will beat,batiere,batieres,batiere,batiéremos,batiereis,batieren,batiendo,batido
"to beat, hammer, pound on",batir,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have beaten, beat",haya batido,hayas batido,haya batido,hayamos batido,hayáis batido,hayan batido,batiendo,batido
"to beat, hammer, pound on",batir,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have beaten,hubiere batido,hubieres batido,hubiere batido,hubiéremos batido,hubiereis batido,hubieren batido,batiendo,batido
"to beat, hammer, pound on",batir,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had beaten,hubiera batido,hubieras batido,hubiera batido,hubiéramos batido,hubierais batido,hubieran batido,batiendo,batido
"to beat, hammer, pound on",batir,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Beat! Don't beat!,,bate,batid,,bata,batan,batiendo,batido
"to beat, hammer, pound on",batir,Imperativo Negativo,Imperative Negative,Presente,Present,Beat! Don't beat!,,no batas,no batáis,,no bata,no batan,batiendo,batido
"to baptize, christen",bautizar,Indicativo,Indicative,Presente,Present,"I baptize, am baptizing",bautizo,bautizas,bautiza,bautizamos,bautizáis,bautizan,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Futuro,Future,I will baptize,bautizaré,bautizarás,bautizará,bautizaremos,bautizaréis,bautizarán,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Imperfecto,Imperfect,"I was baptizing, used to baptize, baptized",bautizaba,bautizabas,bautizaba,bautizábamos,bautizabais,bautizaban,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Pretérito,Preterite,I baptized,bauticé,bautizaste,bautizó,bautizamos,bautizasteis,bautizaron,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Condicional,Conditional,I would baptize,bautizaría,bautizarías,bautizaría,bautizaríamos,bautizaríais,bautizarían,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have baptized,he bautizado,has bautizado,ha bautizado,hemos bautizado,habéis bautizado,han bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have baptized,habré bautizado,habrás bautizado,habrá bautizado,habremos bautizado,habréis bautizado,habrán bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had baptized,había bautizado,habías bautizado,había bautizado,habíamos bautizado,habíais bautizado,habían bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had baptized,hube bautizado,hubiste bautizado,hubo bautizado,hubimos bautizado,hubisteis bautizado,hubieron bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have baptized,habría bautizado,habrías bautizado,habría bautizado,habríamos bautizado,habríais bautizado,habrían bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Subjuntivo,Subjunctive,Presente,Present,"I baptize, am baptizing",bautice,bautices,bautice,bauticemos,bauticéis,bauticen,bautizando,bautizado
"to baptize, christen",bautizar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I baptized, was baptizing",bautizara,bautizaras,bautizara,bautizáramos,bautizarais,bautizaran,bautizando,bautizado
"to baptize, christen",bautizar,Subjuntivo,Subjunctive,Futuro,Future,I will baptize,bautizare,bautizares,bautizare,bautizáremos,bautizareis,bautizaren,bautizando,bautizado
"to baptize, christen",bautizar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have baptized, baptized",haya bautizado,hayas bautizado,haya bautizado,hayamos bautizado,hayáis bautizado,hayan bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have baptized,hubiere bautizado,hubieres bautizado,hubiere bautizado,hubiéremos bautizado,hubiereis bautizado,hubieren bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had baptized,hubiera bautizado,hubieras bautizado,hubiera bautizado,hubiéramos bautizado,hubierais bautizado,hubieran bautizado,bautizando,bautizado
"to baptize, christen",bautizar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Baptize! Don't baptize!,,bautiza,bautizad,,bautice,bauticen,bautizando,bautizado
"to baptize, christen",bautizar,Imperativo Negativo,Imperative Negative,Presente,Present,Baptize! Don't baptize!,,no bautices,no bauticéis,,no bautice,no bauticen,bautizando,bautizado
to drink,beber,Indicativo,Indicative,Presente,Present,"I drink, am drinking",bebo,bebes,bebe,bebemos,bebéis,beben,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Futuro,Future,I will drink,beberé,beberás,beberá,beberemos,beberéis,beberán,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Imperfecto,Imperfect,"I was drinking, used to drink, drank",bebía,bebías,bebía,bebíamos,bebíais,bebían,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Pretérito,Preterite,I drank,bebí,bebiste,bebió,bebimos,bebisteis,bebieron,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Condicional,Conditional,I would drink,bebería,beberías,bebería,beberíamos,beberíais,beberían,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Presente perfecto,Present Perfect,I have drunk,he bebido,has bebido,ha bebido,hemos bebido,habéis bebido,han bebido,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have drunk,habré bebido,habrás bebido,habrá bebido,habremos bebido,habréis bebido,habrán bebido,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had drunk,había bebido,habías bebido,había bebido,habíamos bebido,habíais bebido,habían bebido,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had drunk,hube bebido,hubiste bebido,hubo bebido,hubimos bebido,hubisteis bebido,hubieron bebido,bebiendo,bebido
to drink,beber,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have drunk,habría bebido,habrías bebido,habría bebido,habríamos bebido,habríais bebido,habrían bebido,bebiendo,bebido
to drink,beber,Subjuntivo,Subjunctive,Presente,Present,"I drink, am drinking",beba,bebas,beba,bebamos,bebáis,beban,bebiendo,bebido
to drink,beber,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I drank, was drinking",bebiera,bebieras,bebiera,bebiéramos,bebierais,bebieran,bebiendo,bebido
to drink,beber,Subjuntivo,Subjunctive,Futuro,Future,I will drink,bebiere,bebieres,bebiere,bebiéremos,bebiereis,bebieren,bebiendo,bebido
to drink,beber,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have drunk, drank",haya bebido,hayas bebido,haya bebido,hayamos bebido,hayáis bebido,hayan bebido,bebiendo,bebido
to drink,beber,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have drunk,hubiere bebido,hubieres bebido,hubiere bebido,hubiéremos bebido,hubiereis bebido,hubieren bebido,bebiendo,bebido
to drink,beber,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had drunk,hubiera bebido,hubieras bebido,hubiera bebido,hubiéramos bebido,hubierais bebido,hubieran bebido,bebiendo,bebido
to drink,beber,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Drink! Don't drink!,,bebe,bebed,,beba,beban,bebiendo,bebido
to drink,beber,Imperativo Negativo,Imperative Negative,Presente,Present,Drink! Don't drink!,,no bebas,no bebáis,,no beba,no beban,bebiendo,bebido
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Presente,Present,"I bless, am blessing",bendigo,bendices,bendice,bendecimos,bendecís,bendicen,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Futuro,Future,I will bless,bendeciré,bendecirás,bendecirá,bendeciremos,bendeciréis,bendecirán,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Imperfecto,Imperfect,"I was blessing, used to bless, blessed",bendecía,bendecías,bendecía,bendecíamos,bendecíais,bendecían,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Pretérito,Preterite,I blessed,bendije,bendijiste,bendijo,bendijimos,bendijisteis,bendijeron,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Condicional,Conditional,I would bless,bendeciría,bendecirías,bendeciría,bendeciríamos,bendeciríais,bendecirían,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Presente perfecto,Present Perfect,I have blessed,he bendecido,has bendecido,ha bendecido,hemos bendecido,habéis bendecido,han bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have blessed,habré bendecido,habrás bendecido,habrá bendecido,habremos bendecido,habréis bendecido,habrán bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had blessed,había bendecido,habías bendecido,había bendecido,habíamos bendecido,habíais bendecido,habían bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had blessed,hube bendecido,hubiste bendecido,hubo bendecido,hubimos bendecido,hubisteis bendecido,hubieron bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have blessed,habría bendecido,habrías bendecido,habría bendecido,habríamos bendecido,habríais bendecido,habrían bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Subjuntivo,Subjunctive,Presente,Present,"I bless, am blessing",bendiga,bendigas,bendiga,bendigamos,bendigáis,bendigan,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I blessed, was blessing",bendijera,bendijeras,bendijera,bendijéramos,bendijerais,bendijeran,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Subjuntivo,Subjunctive,Futuro,Future,I will bless,bendijere,bendijeres,bendijere,bendijéremos,bendijereis,bendijeren,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have blessed, blessed",haya bendecido,hayas bendecido,haya bendecido,hayamos bendecido,hayáis bendecido,hayan bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have blessed,hubiere bendecido,hubieres bendecido,hubiere bendecido,hubiéremos bendecido,hubiereis bendecido,hubieren bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had blessed,hubiera bendecido,hubieras bendecido,hubiera bendecido,hubiéramos bendecido,hubierais bendecido,hubieran bendecido,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Bless! Don't bless!,,bendice,bendecid,,bendiga,bendigan,bendiciendo,bendito
"to bless, foretell, forecast",bendecir,Imperativo Negativo,Imperative Negative,Presente,Present,Bless! Don't bless!,,no bendigas,no bendigáis,,no bendiga,no bendigan,bendiciendo,bendito
to embroider,bordar,Indicativo,Indicative,Presente,Present,"I embroider, am embroidering",bordo,bordas,borda,bordamos,bordáis,bordan,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Futuro,Future,I will embroider,bordaré,bordarás,bordará,bordaremos,bordaréis,bordarán,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Imperfecto,Imperfect,"I was embroidering, used to embroider, embroidered",bordaba,bordabas,bordaba,bordábamos,bordabais,bordaban,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Pretérito,Preterite,I embroidered,bordé,bordaste,bordó,bordamos,bordasteis,bordaron,bordando,bordado
to embroider,bordar,Indicativo,Indicative,Condicional,Conditional,I would embroider,bordaría,bordarías,bordaría,bordaríamos,bordaríais,bordarían,bordando,bordado
